"PREMIO_SEGURO_LIQUIDO","PREMIO_Resseguro_Bruto","COMISSAO_Resseguro","LMG_Ultimo_Unique","PREMIO_NET_Corrigido","COMISSAO_de_Resseguro_Corrigida","Check_Premio_de_Resseguro"
269040,53807.95,7264,14998500,46544,7264,53808
67137,13427.42,1813,2e+07,11615,1813,13427
374254,48652.88,6568,78300000,42085,6568,48653
186489,27973.3,3776,23850000,24197,3776,27973
253810,38071.49,5140,20750000,32932,5140,38071
221508,11075.38,1495,2e+07,9580,1495,11075
296760,44513.96,6009,25647863,38505,6009,44514
68730,17182.5,2320,24189156,14863,2320,17183
217582,21758.22,2937,31502250,18821,2937,21758
-119022,-7736.43,-1044,5.8e+07,-6692,-1044,-7736
64227,9634.07,1301,3e+07,8333,1301,9634
185509,27826.41,3757,2.2e+07,24070,3757,27826
305467,30546.76,4124,13248900,26423,4124,30547
60595,12118.93,1636,19200000,10483,1636,12119
201892,20189.23,2726,4757413,17464,2726,20189
3354,586.97,79,1e+07,508,79,587
77038,10401.09,1300,76793437,9101,1300,10401
-52207,-10441.39,-1305,105780000,-9136,-1305,-10441
5422,1355.49,169,78515580,1186,169,1355
-47230,-7084.52,-886,5.4e+07,-6199,-886,-7085
144457,14445.7,1806,1.08e+08,12640,1806,14446
6823,1262.17,158,2e+07,1104,158,1262
-90116,-9011.62,-1126,8400000,-7885,-1126,-9012
52046,5202.54,650,18001200,4552,650,5203
12744,1911.64,239,2e+07,1673,239,1912
3275,262,33,49050000,229,33,262
1226,140.97,18,11701800,123,18,141
76396,5729.72,716,4.5e+07,5014,716,5730
-3386,-507.96,-63,84520000,-444,-63,-508
-19774,-1581.92,-198,102750000,-1384,-198,-1582
-46829,-4682.85,-585,3.5e+07,-4097,-585,-4683
311920,46787.94,6316,1.5e+07,40472,6316,1081
187697,28154.59,3801,5.4e+07,24354,3801,112
130398,19559.66,2641,3e+07,16919,2641,100
176700,8835,1193,26250002,7642,1193,70
35550,7110,960,15480000,6150,960,21
381564,76312.8,10302,19615000,66011,10302,1746
311689,46753.28,6312,20002500,40442,6312,857
267700,26770,3614,13174462,23156,3614,640
56456,11291.14,1524,21100000,9767,1524,40
156120,15611.97,2108,17996698,13504,2108,169
291594,29159.37,3937,10200000,25223,3937,981
95000,16625,2244,7350000,14381,2244,253
-88851,-17770.13,-2399,22500000,-15371,-2399,94
598000,59800,8073,34500000,51727,8073,1241
74538,11180.73,1509,19487160,9671,1509,54
378342,75668.4,10215,34417465,65453,10215,832
81000,20250,2734,3e+07,17516,2734,69
294701,35364.14,4774,2.2e+07,30590,4774,545
206745,41349.09,5582,8750000,35767,5582,1221
107855,21571.08,2912,22500000,18659,2912,111
1712,171.19,23,9564000,148,23,0
16348,1798.25,243,60703043,1555,243,1
130461,13046.1,1761,7974819,11285,1761,237
109000,16349.95,2207,30202200,14143,2207,69
231790,46357.9,6258,3240000,40100,6258,3685
43197,7343.5,991,13777167,6352,991,25
280093,28009.29,3781,38384144,24228,3781,243
203200,20320,2743,11999999,17577,2743,405
248445,37266.75,5031,1.6e+07,32236,5031,723
388436,38843.58,5244,10886433,33600,5244,1732
265256,39788.36,5371,3025000,34417,5371,4204
4670,373.63,50,12200000,323,50,0
640,64,9,17020000,55,9,0
67584,7434.23,1004,43753500,6431,1004,13
22061,1433.93,194,131250000,1240,194,0
140787,21118.1,2851,13800000,18267,2851,269
112550,16882.5,2279,2.8e+07,14603,2279,80
147234,22085.1,2981,1.8e+07,19104,2981,194
160425,28876.5,3898,30770600,24978,3898,175
50996,10199.24,1377,43810805,8822,1377,12
80247,12037.01,1625,8e+07,10412,1625,14
222890,33433.5,4514,42500000,28920,4514,206
298500,44775,6045,2.8e+07,38730,6045,530
203676,43790.42,5912,35100000,37879,5912,282
678772,67877.36,9163,51754140,58714,9163,1086
165925,23229.5,3136,33750000,20094,3136,134
253656,45658.14,6164,22500000,39494,6164,585
465876,46587.59,6289,18901260,40298,6289,1435
355781,53367.19,7205,28980000,46163,7205,794
350900,70180,9474,5.4e+07,60706,9474,570
467250,46725.09,6308,15600000,40417,6308,1646
144729,14472.93,1954,1.5e+07,12519,1954,161
557565,55756.5,7527,35200000,48229,7527,1039
414637,41463.8,5598,9750000,35866,5598,2075
396558,73363.2,9904,16049088,63459,9904,2266
135394,20309.1,2742,15600000,17567,2742,207
-141600,-21240,-2867,25350000,-18373,-2867,140
438574,21928.62,2960,1.8e+07,18968,2960,594
341996,51299.4,6925,25500000,44374,6925,791
241740,36261,4895,3.5e+07,31366,4895,313
141600,21240,2867,2.4e+07,18373,2867,147
88632,8863.17,1197,7001400,7667,1197,123
485,72.78,10,1.9e+07,63,10,0
121329,12132.87,1638,110825000,10495,1638,16
10164,1524.65,206,41407414,1319,206,0
12731,1018.52,138,124658616,881,138,0
13606,680.29,92,22814994,588,92,0
21875,3281.25,443,7020054,2838,443,12
1405,140.45,19,11353500,121,19,0
7116,782.73,106,7828776,677,106,1
439,72.4,9,96759487,63,9,72
119336,11933.56,1492,3.5e+07,10442,1492,11934
-746,-111.94,-14,1.11e+08,-98,-14,-112
90,8.98,1,16199190,8,1,9
19774,1581.92,198,102750000,1384,198,1582
90116,9011.62,1126,8400000,7885,1126,9012
49454,9890.74,1335,22500000,8555,1335,9891
12636,1263.59,171,17087945,1093,171,1264
25345,1774.14,240,41054076,1535,240,1774
5341,427.29,58,128749936,370,58,427
995,49.73,7,56723661,43,7,50
-10678,-2135.52,-288,8750000,-1847,-288,-2136
116360,8145.17,1100,27600000,7046,1100,8145
-5297,-635.6,-86,23998800,-550,-86,-636
729185,18229.63,2461,37602969,15769,2461,18230
-6826,-1365.21,-184,1.8e+07,-1181,-184,-1365
222462,26695.43,3604,15924999,23092,3604,26695
3998,599.72,81,6750000,519,81,600
4651,906.85,122,1.5e+07,784,122,907
35640,7662.6,1034,35100000,6628,1034,7663
325437,32543.75,4393,7500000,28150,4393,32544
35626,3562.63,481,1.5e+07,3082,481,3563
24401,3660.1,494,5.4e+07,3166,494,3660
92239,16602.96,2241,22500000,14362,2241,16603
7482,1496.34,202,26856525,1294,202,1496
203200,20320,2743,11999999,17577,2743,20320
-43197,-7343.5,-991,13777167,-6352,-991,-7344
127511,11475.96,1549,32097543,9927,1549,11476
25004,3750.62,506,51413613,3244,506,3751
3672,550.75,74,28404164,476,74,551
1633,245.01,33,1.9e+07,212,33,245
392660,39266.1,5301,7001400,33965,5301,39266
-536,-80.36,-11,36275050,-70,-11,-80
925,138.68,19,36318150,120,19,139
7110,1066.52,144,4.2e+07,923,144,1067
10023,1603.62,216,33600000,1387,216,1604
5918,591.84,80,13248900,512,80,592
-4183,-836.64,-113,43810805,-724,-113,-837
190945,28641.68,3867,4e+07,24775,3867,28642
13781,1722.66,233,5625000,1490,233,1723
128073,25614.61,3586,2425000,22029,3586,25615
648440,64844,9078,3.7e+07,55766,9078,64844
165073,41268.25,5778,22500000,35491,5778,41268
26599,5319.74,745,475000,4575,745,5320
407286,28510.04,3991,30398100,24519,3991,28510
290561,58112.12,8136,11734331,49976,8136,58112
416740,41674.01,5834,40499960,35840,5834,41674
97359,19471.82,2726,8160000,16746,2726,19472
21315,4263.09,597,437500,3666,597,4263
137914,27582.8,3862,1e+06,23721,3862,27583
183250,45812.62,6414,14412676,39399,6414,45813
374549,56182.35,7866,3e+07,48317,7866,56182
21713,3256.88,456,2500000,2801,456,3257
71662,10749.29,1505,14298455,9244,1505,10749
105931,21186.2,2966,22800000,18220,2966,21186
218163,43632.65,6109,23490000,37524,6109,43633
184906,27735.85,3883,10332000,23853,3883,27736
207208,41441.61,5802,3e+07,35640,5802,41442
445828,34328.77,4806,91799996,29523,4806,34329
148400,18550,2597,3e+07,15953,2597,18550
312369,62473.75,8746,21300000,53727,8746,62474
195032,29254.8,4096,2.4e+07,25159,4096,29255
277500,27750.03,3885,13650000,23865,3885,27750
155360,23304.03,3263,17893600,20041,3263,23304
270425,40563.75,5679,1.6e+07,34885,5679,40564
135000,20250,2835,3.2e+07,17415,2835,20250
159551,23932.66,3351,3.3e+07,20582,3351,23933
262091,39313.65,5504,6750000,33810,5504,39314
383417,76683.5,10736,11375000,65948,10736,76683
104520,20904,2927,4e+06,17977,2927,20904
162180,32436,4541,2e+06,27895,4541,32436
243149,48629.83,6808,4e+07,41822,6808,48630
153203,30640.68,4290,2450000,26351,4290,30641
189040,22684.86,3176,73600000,19509,3176,22685
-2693,-269.28,-34,17399130,-236,-34,-269
381814,30545.14,3818,102446226,26727,3818,30545
-2463,-123.15,-17,128214264,-107,-17,-123
-3998,-599.72,-81,6750000,-519,-81,-600
1633,244.88,33,23998000,212,33,245
3729,372.87,50,45102750,323,50,373
14935,2240.22,302,16775000,1938,302,2240
-26872,-2687.19,-363,16199190,-2324,-363,-2687
11044,1546.2,209,19198400,1337,209,1546
-1977,-256.98,-35,67850490,-222,-35,-257
-40773,-4077.26,-550,33969594,-3527,-550,-4077
-6260,-938.93,-127,100707000,-812,-127,-939
1640,245.98,33,1696840,213,33,246
47881,7182.2,970,19004923,6213,970,7182
-833,-83.26,-11,11371198,-72,-11,-83
191084,22930.17,3096,23998800,19835,3096,22930
1005,160.76,22,33600000,139,22,161
-6068,-373.18,-50,80407600,-323,-50,-373
46074,8984.47,1213,15750000,7772,1213,8984
9868,740.11,100,25500000,640,100,740
842,84.15,11,10243364,73,11,84
2410,241.03,33,25997400,208,33,241
51100,7665.02,1073,6840000,6592,1073,7665
687856,68785.6,9630,15522951,59156,9630,68786
278407,27840.67,3898,17223722,23943,3898,27841
265912,26591.2,3723,19999998,22868,3723,26591
271230,56958.2,7974,22660000,48984,7974,56958
155709,31141.74,4360,23987120,26782,4360,31142
20861,3129.17,438,33200000,2691,438,3129
48237,12059.33,1688,18706992,10371,1688,12059
294058,44108.67,6175,7505182,37933,6175,44109
123462,15432.75,2161,25200000,13272,2161,15433
384621,44231.47,6192,24000002,38039,6192,44231
-105931,-21186.19,-2966,22800000,-18220,-2966,-21186
105931,21186.2,2966,22800000,18220,2966,21186
251236,37685.33,5276,14400000,32409,5276,37685
481510,72226.53,10112,47277335,62115,10112,72227
-117846,-11784.62,-1650,33969594,-10135,-1650,-11785
117846,17676.93,2475,27175675,15202,2475,17677
161872,32374.5,4532,5.4e+07,27842,4532,32374
198698,29804.69,4173,30496210,25632,4173,29805
207374,22811.18,3194,14417812,19618,3194,22811
600287,66031.54,9244,66450000,56787,9244,66032
240502,24050.18,3367,32850000,20683,3367,24050
90543,10865.12,1521,6e+06,9344,1521,10865
154380,30875.9,4323,18750000,26553,4323,30876
141211,21181.72,2965,3.6e+07,18216,2965,21182
197765,36586.53,5122,19080000,31464,5122,36587
277386,41607.91,5825,3e+07,35783,5825,41608
228382,34257.33,4796,17500000,29461,4796,34257
208170,31225.5,4372,2e+07,26854,4372,31226
238078,35711.64,5000,31500000,30712,5000,35712
328144,49221.66,6891,2e+07,42331,6891,49222
439965,65994.75,9239,2.6e+07,56755,9239,65995
260738,48236.62,6753,1.6e+07,41483,6753,48237
13079,2288.87,320,5e+07,1968,320,2289
527645,65955.64,9234,16500000,56722,9234,65956
333572,56707.2,7939,19754299,48768,7939,56707
301745,40735.58,5703,30175000,35033,5703,40736
-135000,-20250,-2835,3.2e+07,-17415,-2835,-20250
135000,20250,2835,3.2e+07,17415,2835,20250
165200,24780,3469,15700000,21311,3469,24780
-159551,-23932.66,-3351,3.3e+07,-20582,-3351,-23933
159551,23932.66,3351,3.3e+07,20582,3351,23933
354465,70893.07,9925,22550400,60968,9925,70893
176342,34386.74,4814,13244000,29573,4814,34387
149850,22477.5,3147,2.4e+07,19331,3147,22478
434366,65154.92,9122,3e+07,56033,9122,65155
-95000,-14250,-1995,20200000,-12255,-1995,-14250
153291,30658.2,4292,2e+07,26366,4292,30658
223901,33585.17,4702,3.5e+07,28883,4702,33585
11250,2250,315,21300000,1935,315,2250
275550,61998.75,8680,9e+06,53319,8680,61999
213290,37325.75,5226,7e+06,32100,5226,37326
233563,35034.46,4905,1.2e+07,30130,4905,35034
467629,46762.92,6547,1e+07,40216,6547,46763
17542,1315.67,178,71158122,1138,178,0
-3117,-233.78,-32,71158122,-202,-32,-196
