"PREMIO_SEGURO_LIQUIDO","PREMIO_Resseguro_Bruto","COMISSAO_Resseguro","LMG_Ultimo_Unique","PREMIO_NET_Corrigido","COMISSAO_de_Resseguro_Corrigida","Check_Premio_de_Resseguro"
339407,67881,8485,33750000,59396,8485,67881
137843,27569,3446,7e+07,24123,3446,27569
216801,43360,5420,39240000,37940,5420,43360
184928,27739,3467,24837924,24272,3467,27739
43350,8670,1084,6800000,7586,1084,8670
87840,13176,1647,13297998,11529,1647,13176
71613,9310,1164,46320000,8146,1164,9310
76320,7632,954,4.2e+07,6678,954,7632
97989,14698,1837,25300000,12861,1837,14698
-78123,-11718,-1465,24178000,-10254,-1465,-11718
-78123,-11718,-1465,24178000,-10254,-1465,-11718
78123,11718,1465,2.2e+07,10254,1465,11718
377755,56663,7083,2.4e+07,49580,7083,56663
244394,24447,3056,23998800,21391,3056,24447
195500,19550,2444,4.2e+07,17106,2444,19550
167911,16791,2099,4.8e+07,14692,2099,16791
198028,19803,2475,52852518,17327,2475,19803
119355,23871,2984,1.2e+07,20887,2984,23871
136379,34095,4262,1.8e+07,29833,4262,34095
373221,74644,9331,40683701,65314,9331,74644
179363,22420,2803,8e+07,19618,2803,22420
254051,25405,3176,53500000,22229,3176,25405
35080,2806,351,24300000,2456,351,2806
225349,56337,7042,36545511,49295,7042,56337
48348,4835,604,2.5e+07,4230,604,4835
218554,21855,2732,74491029,19123,2732,21855
596000,29800,3725,4e+07,26075,3725,29800
-66630,-16657,-2082,78515580,-14575,-2082,-16657
397222,59583,7448,6e+07,52135,7448,59583
35080,2806,351,24300000,2456,351,2806
60343,7543,943,43500000,6600,943,7543
28489,5698,712,36540000,4986,712,5698
371448,37145,4643,27797220,32502,4643,37145
412890,41289,5161,49995000,36128,5161,41289
260000,32500,4063,25005000,28438,4063,32500
342324,20539,2567,124800000,17972,2567,20539
427063,34165,4271,24300000,29894,4271,34165
124567,14948,1869,4e+07,13080,1869,14948
119148,11915,1489,100800000,10425,1489,11915
59369,14842,1855,12500000,12987,1855,14842
2094,209,26,44660000,183,26,209
290,43,5,6600000,38,5,43
-60127,-15032,-1879,4750000,-13153,-1879,-15032
56000,5600,700,20955491,4900,700,5600
112182,28046,3506,1.4e+07,24540,3506,28046
-108719,-10872,-1359,2.4e+07,-9513,-1359,-10872
253587,38038,4755,46750000,33283,4755,38038
81617,8162,1020,5.4e+07,7142,1020,8162
419538,41954,5244,17127699,36710,5244,41954
102198,10220,1277,6e+07,8942,1277,10220
60127,15032,1879,4750000,13153,1879,15032
186250,32594,4074,7500000,28520,4074,32594
356294,35629,4454,1e+07,31176,4454,35629
143902,21585,2698,31800000,18887,2698,21585
147651,14765,1846,4.8e+07,12919,1846,14765
108205,16231,2029,16696000,14202,2029,16231
10779,1617,202,16500000,1415,202,1617
6415,962,120,37949717,842,120,962
464519,58065,7258,71250000,50807,7258,58065
207282,20728,2591,7200000,18137,2591,20728
130532,19580,2447,22980000,17132,2447,19580
49077,4908,613,2.7e+07,4294,613,4908
31025,4654,582,14987741,4072,582,4654
95267,14290,1786,14440000,12504,1786,14290
263071,39461,4933,2.8e+07,34528,4933,39461
243570,36535,4567,26348924,31969,4567,36535
364500,36450,4556,3.2e+07,31894,4556,36450
2893,-579,-67,103033000,-512,-67,579
-1684,-253,-32,95526675,-221,-32,-253
1327,133,17,116662000,116,17,133
137565,13757,1720,46664800,12037,1720,13757
765,77,10,7e+07,67,10,77
132932,-26586,-3323,59700000,-23263,-3323,26586
108000,-21600,-2700,28300000,-18900,-2700,21600
1399,140,17,83249075,122,17,140
27026,2701,338,34500000,2364,338,2701
31167,4675,584,37400000,4091,584,4675
-151922,-15192,-1899,41280000,-13293,-1899,-15192
68615,6861,858,39496050,6003,858,6861
5880,706,88,45920000,617,88,706
310401,46560,5820,5e+07,40740,5820,46560
49616,4962,620,67480600,4341,620,4962
72899,8748,1093,30839632,7654,1093,8748
238086,23804,2975,36170719,20828,2975,23804
147513,29503,3688,31500000,25815,3688,29503
-383,-77,-10,19472000,-67,-10,-77
1056,106,13,55910020,92,13,106
2490,373,47,1.8e+07,327,47,373
4331,433,54,10500000,379,54,433
8055,1208,151,34970400,1057,151,1208
413,62,8,1.2e+07,54,8,62
9900,1980,248,2.7e+07,1733,248,1980
278671,27867,3483,1.17e+08,24384,3483,27867
147161,7358,920,46595340,6438,920,7358
115294,11529,1441,52500000,10088,1441,11529
56834,5683,710,16800000,4973,710,5683
347395,52109,6514,35232000,45596,6514,52109
-141781,-21267,-2658,3e+07,-18609,-2658,-21267
105000,15750,1969,26670000,13781,1969,15750
129943,19492,2436,14700000,17055,2436,19492
190259,28539,3567,59500000,24971,3567,28539
69678,6968,871,3e+07,6097,871,6968
-85000,-12750,-1594,40320000,-11156,-1594,-12750
160419,32084,4010,1.2e+07,28073,4010,32084
77232,15446,1931,8214000,13516,1931,15446
104380,20876,2610,28800000,18267,2610,20876
239058,59764,7471,1.5e+07,52294,7471,59764
141781,21267,2658,3e+07,18609,2658,21267
189432,28415,3552,4.4e+07,24863,3552,28415
89933,8993,1124,7e+07,7869,1124,8993
91032,13655,1707,33222420,11948,1707,13655
187000,28050,3506,23600000,24544,3506,28050
47107,4711,589,3433988,4122,589,4711
244866,24487,3061,13999800,21426,3061,24487
-3088,-463,-58,55893750,-405,-58,-463
